Instrument,Spot,Sample,Label,Type,Min,Ca_per,Mg_per,Sr_ppm,Fe_ppm,Mn_ppm,S_per,Formation,Generation
Caltech,110,MDS_24_6,Oo,ooid,CA,41.183,0.367,0,670.97,1067.68,0.029,Shuram,1
Caltech,111,MDS_24_6,Oo,ooid,CA,39.4,0.453,0,0,708.26,0.049,Shuram,1
Caltech,112,MDS_24_6,Oo,ooid,CA,39.087,0.512,0,2223.29,425.68,0.057,Shuram,1
Caltech,113,MDS_24_6,Oo,ooid,CA,40.036,0.479,0,1565.93,0,0.038,Shuram,1
Caltech,114,MDS_24_6,Oo,ooid,CA,40.158,0.469,675.38,0,0,0.031,Shuram,1
Caltech,115,MDS_24_6,Oo,ooid,CA,39.97,0.518,0,511.71,0,0.048,Shuram,1
Caltech,116,MDS_24_6,Oo,ooid,CA,38.329,0.429,0,3400.93,889.37,0.046,Shuram,1
Caltech,181,MDS_200_H1,S,sediment,CA,38.816,0.363,0,3398.79,1190.74,0,Shuram,1
Caltech,182,MDS_200_H1,S,sediment,CA,40.141,0.261,580.11,3053.75,1090.53,0,Shuram,1
Caltech,183,MDS_200_H1,S,sediment,CA,40.168,0.357,0,2510.93,1351.68,0.017,Shuram,1
Caltech,184,MDS_200_H1,S,sediment,CA,40.523,0.306,762.14,2721.28,1329.72,0.018,Shuram,1
Caltech,185,MDS_200_H1,S,sediment,CA,39.915,0.244,0,2542.48,1473.13,0.031,Shuram,1
Caltech,186,MDS_200_H1,S,sediment,CA,40.507,0.325,0,2098.21,1991.49,0,Shuram,1
Caltech,187,MDS_200_H1,S,sediment,CA,39.934,0.257,0,2804.18,660.91,0.014,Shuram,1
Caltech,188,MDS_200_H1,S,sediment,CA,37.563,0.342,0,2671.72,863.52,0.016,Shuram,1
Caltech,189,MDS_200_H1,S,sediment,CA,39.106,0.175,955.1,2624.56,913.44,0.019,Shuram,1
Caltech,199,MDS_200_H1,S,sediment,CA,40.245,0.276,664.95,2144.64,1338.92,0.033,Shuram,1
Caltech,200,MDS_200_H1,S,sediment,CA,39.94,0.326,0,2920.17,995.49,0.013,Shuram,1
Caltech,201,MDS_200_H1,S,sediment,CA,39.712,0.307,0,2876.81,1424.63,0.015,Shuram,1
Caltech,202,MDS_200_H1,S,sediment,CA,39.59,0.397,0,3300,2062.97,0.041,Shuram,1
Caltech,203,MDS_200_H1,S,sediment,CA,40.035,0.284,725.6,3763.8,1341.57,0.012,Shuram,1
Caltech,227,MDE_173_6_G1,Oo,ooid,CA,41.773,0.529,0,930.42,391.47,0.038,Shuram,1
Caltech,228,MDE_173_6_G1,Oo,ooid,CA,41.276,0.433,0,432.34,1232.71,0.037,Shuram,1
Caltech,229,MDE_173_6_G1,Oo,ooid,CA,40.771,0.357,989.03,873.23,1338.43,0.011,Shuram,1
Caltech,231,MDE_173_6_G1,Oo,ooid,CA,40.069,0.621,0,1764.67,853.24,0.027,Shuram,1
Caltech,232,MDE_173_6_G1,Oo,ooid,CA,41.545,0.443,721.43,395.6,1085.37,0.038,Shuram,1
Caltech,233,MDE_173_6_G1,Oo,ooid,CA,40.306,0.405,0,591.68,795.44,0.028,Shuram,1
Caltech,234,MDE_173_6_G1,Oo,ooid,CA,40.661,0.392,0,902.58,673.99,0.041,Shuram,1
Caltech,235,MDE_173_6_G1,Oo,ooid,CA,40.94,0.398,0,778.65,769.5,0.039,Shuram,1
Caltech,236,MDE_173_6_G1,Oo,ooid,CA,40.021,0.458,0,1935.68,1218.84,0.032,Shuram,1
Caltech,246,MDE_173_6_H1,Oo,ooid,CA,39.763,0.382,0,702.19,1595.81,0.029,Shuram,1
Caltech,247,MDE_173_6_H1,Oo,ooid,CA,40.245,0.384,0,513.87,698.26,0.026,Shuram,1
Caltech,248,MDE_173_6_H1,Oo,ooid,CA,40.128,0.289,0,358.94,954.96,0.023,Shuram,1
Caltech,249,MDE_173_6_H1,Oo,ooid,CA,39.842,0.336,0,1138.41,1182.53,0.046,Shuram,1
Caltech,250,MDE_173_6_H1,Oo,ooid,CA,38.778,0.346,0,1509.05,1034.67,0.034,Shuram,1
Caltech,251,MDE_173_6_H1,Oo,ooid,CA,41.116,0.097,0,0,2489.44,0.024,Shuram,1
Caltech,252,MDE_173_6_H1,Oo,ooid,CA,39.066,0.463,0,468.82,2165.23,0.025,Shuram,1
Caltech,253,MDE_173_6_H1,Oo,ooid,CA,39.916,0.417,0,676.71,807.24,0.037,Shuram,1
Caltech,254,MDE_173_6_H1,Oo,ooid,CA,38.1,0.635,0,2080.53,900.21,0.032,Shuram,1
Caltech,255,MDE_173_6_H1,Oo,ooid,CA,38.537,0.391,578.65,864.42,1219.4,0.03,Shuram,1
Caltech,266,MDE_173_6_H1,Oo,ooid,CA,40.605,0.161,1064.78,636.72,492.56,0.017,Shuram,1
Caltech,267,MDE_173_6_H1,Oo,ooid,CA,40.64,0.175,729.98,661.87,766.98,0.012,Shuram,1
Caltech,268,MDE_173_6_H1,Oo,ooid,CA,40.408,0.339,0,612.91,901.9,0.028,Shuram,1
Caltech,269,MDE_173_6_H1,Oo,ooid,CA,40.277,0.325,0,587.56,685.97,0.028,Shuram,1
Caltech,272,MDE_173_6_H1,Oo,ooid,CA,39.361,0.486,0,1168.16,1284.77,0.035,Shuram,1
Caltech,273,MDE_173_6_H1,Oo,ooid,CA,39.874,0.177,0,902.81,623.57,0,Shuram,1
