Region,Formation,Section,sample ID,AgeModel,TIC wt%,del13CIC,OC wt%,delOC,del18O,FeHR/FeT,,siltstone,conglomerate,calcareous,diamictite,,,,,,,,,,,,,,,,,,,,0
Avalon Peninnsula,Middle Briscal,,161,568.8,0.002,-4.60,0.00,,-13.98,0.26,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,162,568.7,,,,,,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,163,568.7,,,,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,164,568.6,,,,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,165,568.5,,,,,,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,166,568.4,0.110,-17.50,0.11,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,167,568.4,0.068,-24.40,0.07,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,168,568.3,0.002,-13.87,0.00,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,169,568.2,,,,,,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,170,568.2,0.001,-5.50,0.00,,,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,171,568.1,0.004,-21.93,0.00,,,0.26,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,172,568.0,0.028,-25.70,0.03,,,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,173,566.8,,,,,-7.72,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,174,566.7,0.168,-24.84,0.17,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,175,566.7,0.003,-13.00,0.00,,,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,176,566.6,0.006,-22.16,0.01,,-17.35,0.14,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,177,566.5,,,,,,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,178,566.5,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,179,566.4,0.001,-8.17,0.00,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,180,566.3,0.000,-6.43,0.00,,,0.12,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,181,566.2,0.020,-26.51,0.02,,-13.60,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Mistaken Point,,182,566.2,0.001,-17.25,0.00,,,0.10,,x,,,,,,,,,,,,,,,,,,,,,,,
