SamID,Bergmann_2025_Age,,Chen_2022_Age,Meter,d13C,d18O,87Sr_86Sr,d13Corg,TOC,d34SCAS,d34Spy,Type,Min,Section,Fm,Mb,CEX,Period,Series,Stage,ConZone,GrapZone,TriZone,SSFZone,ArcZone,OstZone,AmmZone,Country,State,Town,Lat,Long,Ca,Mg,Mg_Ca,Fe,Mn,Sr,Si,Mn_Sr,Source
80-05,,,564.7428589,,-7.2,21.3,0.708643,,,,,,CA,high-certainty,Kholychskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,757,49,6720,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
77-04,,,564.8492957,,-8.5,21.2,0.708223,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2300,75,4460,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
Sep-93,,,565,,-9.6,20.5,0.70812,,,,,,CA,low-certainty,Chencha,,altered,,,,,,,,,,,Russia,,,,,,,,,,285,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
90/05,,,565,,,,0.70803,,,,,,CA,low-certainty,Chencha,,altered,,,,,,,,,,,Russia,,,,,,,,,,680,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
98/05,,,565,,,,0.70798,,,,,,CA,medium-certainty,Chencha,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,2898,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
104/05,,,565,,,,0.70786,,,,,,CA,medium-certainty,Chencha,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,915,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
2730/90,,,565,,,,0.70823,,,,,,CA,low-certainty,Chencha,,altered,,,,,,,,,,,Russia,,,,,,,,,,590,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
2730/92,,,565,,,,0.70836,,,,,,CA,low-certainty,Chencha,,altered,,,,,,,,,,,Russia,,,,,,,,,,421,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
83-05,,,565.0571445,,-7.3,21.5,0.708493,,,,,,CA,high-certainty,Kholychskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1560,92,7530,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
79-04,,,565.1178403,,-8.3,21.3,0.708203,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2370,57,4670,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
80-04,,,565.2211267,,-8.4,20.4,0.708213,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1060,69,11700,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
81-04,,,565.3760563,,-8.5,21.3,0.708183,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1900,85,4330,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
157-04,,,565.4381356,,-9.2,22.3,0.708563,,,,,,CA,low-certainty,Cnenchinskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,1510,349,1000,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
B-60,,,565.484,,4.7,-7.4,0.70872,,,,,,CA,low-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,240,18,1840,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
82-04,,,565.5,,-9.2,19.9,0.708203,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2130,65,3510,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
156-04,,,565.6409201,,-7.3,22.9,0.708413,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1030,99,1800,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
83-04,,,565.6755869,,-8.8,21.3,0.708183,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1710,98,2520,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
153-04,,,566.7562348,,-7,22.4,0.708253,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1360,72,1420,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
110-03,,,567.3,,-8.9,23.8,0.708273,,,,,,CA,high-certainty,Torginskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,216,34,858,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
145-04,,,567.6789043,,-8,21.4,0.708383,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2600,109,2100,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
89-04,,,567.7000003,,-9.3,20.7,0.708103,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1850,162,3120,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
116-03,,,567.8058064,,-8.8,22.4,0.708263,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,287,47,486,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
90-05,,,568.1714293,,-8.1,20.8,0.708483,,,,,,CA,high-certainty,Alyanchskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1230,83,4560,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
B-55,,,568.34854,,4.1,-5.5,0.70922,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,190,18,195,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
94-04,,,568.3713619,,-9.4,20.1,0.708063,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1200,83,6950,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
91-05,,,568.3857149,,-8,21.2,0.708383,,,,,,CA,high-certainty,Alyanchskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2330,64,25300,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
95-04,,,568.5262915,,-9.3,19.5,0.708063,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1090,66,1510,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
SM-225-0 3541.3,,,568.5736092,,-2.8,24.8,0.708482,,,,,,CA,medium-certainty,Uspun,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,1177,101,129,,,"Chen et al., 2022;Kochnev et al..2018;Kochnev and Karlova. 2010;Kaufman et al.. 2012"
96-04,,,568.7328643,,-9.2,19.7,0.708053,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1220,91,3590,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
081-03,,,569.1064515,,-8.1,23.5,0.708613,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,143,26,318,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
084-03,,,569.4677418,,-8.6,23.4,0.708313,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,117,20,307,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
105-03,,,569.66043,,-9.4,22.9,0.708313,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,182,26,300,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
085-03,,,569.8531181,,-9.5,22.8,0.708293,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,105,16,365,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
5-Oct,,,570,,-12.5,18.6,0.70829,,,,,,CA,medium-certainty,Nikol’skoe,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,250,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
22/05,,,570,,-13.3,18.5,0.7079,,,,,,CA,medium-certainty,Nikol’skoe,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,345,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
25/05,,,570,,-13.5,17.4,0.70801,,,,,,CA,low-certainty,Nikol’skoe,,altered,,,,,,,,,,,Russia,,,,,,,,,,319,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
