SampName,SampCategory,SampSubCategory,SampNum,Mineralogy,Mineralogy2,Date,Time,AnalysisID,RepliicateID,MassSpec,rxnTemp,SampYN,RefYN,Bad,D47TE,AFF,ARF_ID1,ARF_ID2,ARF_ID3,d45,sd_d45,d46,sd_d46,d47,sd_d47,d48,sd_d48,d49,sd_d49,d13C_wg_VPDB,d18O_wg_VSMOW,d13C,se_13,d18O,se_18,AFF_d18O,Final_d13Ccarb,Final_d18Ocarb_VSMOW,D47,sd_D47,se_D47,D48,sd_D48,se_D48,D49,sd_D49,se_D49,SlopeEGL,SlopeETF,IntETF,D47rfac
MDE_292.5,Sample,NA,NA,Dolomite,NA,7/12/30 10,11:58,3779,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,-1.466967,NA,8.415013,NA,6.466215,NA,16.767693,NA,23.903314,NA,-3.621,25.432,-5.494621,0.001,34.071607,0.003,1.0087142,-5.494621,24.19454615774618,-0.278504,NA,0.01344643543512796,-0.130959,NA,NA,8.758377,NA,NA,NA,NA,NA,0.471129
MDE_293.4,Sample,NA,NA,Dolomite,NA,7/12/30 11,33:13,3780,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,-4.247948,NA,8.296786,NA,3.486685,NA,16.578398,NA,31.4131,NA,-3.621,25.432,-8.455387,0.002,33.956709,0.005,1.0087142,-8.455387,24.079648157746178,-0.25019,NA,0.011550940408742412,-0.082686,NA,NA,19.417869,NA,NA,NA,NA,NA,0.498656
ETH-1,carbSTD,ETH-1,NA,Calcite,NA,9/12/30 00,00:00,3781,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,5.68702,NA,11.820065,NA,17.002439,NA,23.649116,NA,44.360124,NA,-3.621,25.432,2.008093,0.003,37.550361,0.006,1.0087142,2.008093,28.87807422011648,-0.54378,NA,0.013574307435149592,-0.127656,NA,NA,14.372007,NA,NA,NA,NA,NA,0.208637
ETH-4,carbSTD,ETH-4,NA,Calcite,NA,7/12/30 14,16:11,3782,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.33257,NA,-4.959107,NA,-11.686692,NA,-9.881738,NA,-1.049145,NA,-3.621,25.432,-10.189722,0.003,20.353852,0.005,1.0087142,-10.189722,11.681565220116479,-0.313835,NA,0.015946183245375948,0.011942,NA,NA,15.610294,NA,NA,NA,NA,NA,0.431006
KDW2_131.8_A,Sample,NA,NA,Dolomite,NA,7/12/30 15,37:38,3783,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,2.570839,NA,9.532467,NA,11.800371,NA,19.083471,NA,36.788865,NA,-3.621,25.432,-1.230496,0.002,35.209321,0.004,1.0087142,-1.230496,25.332260157746184,-0.245175,NA,0.013316612616365008,-0.070962,NA,NA,14.857989,NA,NA,NA,NA,NA,0.505866
KDW2_59.0,Sample,NA,NA,Dolomite,NA,7/12/30 17,00:52,3784,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,7.044137,NA,11.264417,NA,18.132899,NA,22.500286,NA,43.783145,NA,-3.621,25.432,3.475438,0.001,36.97681,0.002,1.0087142,3.475438,27.09974915774618,-0.283993,NA,0.015038748747813078,-0.151943,NA,NA,13.449281,NA,NA,NA,NA,NA,0.46872
ETH-2,carbSTD,ETH-1,NA,Calcite,NA,7/12/30 18,22:18,3785,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.305889,NA,-4.88503,NA,-11.8042,NA,-9.704084,NA,3.970107,NA,-3.621,25.432,-10.164012,0.003,20.429833,0.005,1.0087142,-10.164012,11.757546220116478,-0.533537,NA,0.011774186961175895,0.042467,NA,NA,20.534745,NA,NA,NA,NA,NA,0.211276
ETH-3,carbSTD,ETH-3,NA,Calcite,NA,7/12/30 19,43:33,3786,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,5.391377,NA,12.252132,NA,17.524446,NA,24.581139,NA,41.79353,NA,-3.621,25.432,1.677037,0.002,37.99458,0.005,1.0087142,1.677037,29.322293220116478,-0.147204,NA,0.011550914991117928,-0.071446,NA,NA,11.347354,NA,NA,NA,NA,NA,0.605346
MDE_292.5,carbSTD,IAEA-C2,NA,Dolomite,NA,7/12/30 21,05:14,3787,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-1.433992,NA,8.521421,NA,6.625709,NA,17.125982,NA,30.722685,NA,-3.621,25.432,-5.46337,0.002,34.180762,0.004,1.0087142,-5.46337,24.303701157746183,-0.257856,NA,0.011642152706271005,0.010322,NA,NA,15.230627,NA,NA,NA,NA,NA,0.491819
MDE_293.4,Sample,NA,NA,Dolomite,NA,7/12/30 22,26:12,3788,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,-4.236209,NA,8.339898,NA,3.544467,NA,16.674791,NA,28.834166,NA,-3.621,25.432,-8.444454,0.002,34.000937,0.005,1.0087142,-8.444454,24.12387615774618,-0.246808,NA,0.014056012496234152,-0.073383,NA,NA,16.770726,NA,NA,NA,NA,NA,0.502054
ETH-1,carbSTD,ETH-2,NA,Calcite,NA,7/12/30 23,47:19,3789,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,5.679417,NA,11.87634,NA,17.038693,NA,23.702405,NA,38.924506,NA,-3.621,25.432,1.997923,0.002,37.608146,0.005,1.0087142,1.997923,28.935859220116477,-0.555008,NA,0.011930785366430583,-0.186823,NA,NA,8.990318,NA,NA,NA,NA,NA,0.197418
ETH-4,carbSTD,IAEA-C2,NA,Calcite,NA,7/12/31 01,08:13,3790,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.34443,NA,-4.91035,NA,-11.64867,NA,-9.772421,NA,-5.447429,NA,-3.621,25.432,-10.204169,0.002,20.403931,0.003,1.0087142,-10.204169,11.731644220116479,-0.311223,NA,0.012816881207762443,0.024347,NA,NA,11.054172,NA,NA,NA,NA,NA,0.433629
KDW2_64.8,Sample,NA,NA,Dolomite,NA,7/12/31 02,30:16,3791,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,6.051709,NA,13.181695,NA,19.063144,NA,26.478193,NA,51.584464,NA,-3.621,25.432,2.347024,0.001,38.947267,0.002,1.0087142,2.347024,29.070206157746178,-0.215935,NA,0.011595369181107854,-0.057393,NA,NA,18.299719,NA,NA,NA,NA,NA,0.537022
KDW2_64.8,Sample,NA,NA,Dolomite,NA,7/12/31 03,51:56,3792,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,6.062823,NA,13.203845,NA,19.095668,NA,26.601732,NA,44.767831,NA,-3.621,25.432,2.358062,0.001,38.969979,0.003,1.0087142,2.358062,29.092918157746183,-0.216911,NA,0.012753061262721375,0.019227,NA,NA,11.643474,NA,NA,NA,NA,NA,0.536055
ETH-2,carbSTD,ETH-4,NA,Calcite,NA,7/12/31 05,13:25,3793,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.290879,NA,-4.833383,NA,-11.774879,NA,-9.546539,NA,-2.376856,NA,-3.621,25.432,-10.149917,0.002,20.482816,0.004,1.0087142,-10.149917,11.810529220116479,-0.570454,NA,0.011734063364259887,0.097749,NA,NA,13.963325,NA,NA,NA,NA,NA,0.174368
ETH-3,carbSTD,IAEA-C2,NA,Calcite,NA,7/12/31 06,34:45,3794,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,5.40822,NA,12.350719,NA,17.61804,NA,24.8105,NA,39.182377,NA,-3.621,25.432,1.691381,0.003,38.095743,0.006,1.0087142,1.691381,29.423456220116478,-0.168257,NA,0.012567707254674107,-0.042392,NA,NA,8.601458,NA,NA,NA,NA,NA,0.584318
MDE_292.5,carbSTD,ETH-3,NA,Dolomite,NA,,,3795,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-1.436995,NA,8.542195,NA,6.629459,NA,17.057628,NA,23.338234,NA,-3.621,25.432,-5.467334,,34.202094,,1.0087142,-5.467334,24.325033157746184,-0.271274,NA,0.0102704303597337,-0.098075,NA,NA,7.919603,NA,NA,NA,NA,NA,0.478402
