UID,Session,Sample,d45,d46,d47,d48,d49
19283,20230210,KDW2_34.5_A,6.576074,10.350430,16.647223,20.666389,30.953769
19282,20230210,ETH-3,4.434452,11.666906,15.785414,23.226171,43.736999
19307,20230210,IAEA-C2,-4.885796,4.206293,-1.126709,8.354431,23.273855
19312,20230210,ETH-2,-7.155530,-5.394390,-13.332006,-11.128119,-47.542872
19275,20230210,ETH-3,4.420754,11.653070,15.785139,23.402057,37.434897
19289,20230210,KDW2_104.8_B_A,4.577472,11.860768,16.067060,23.668085,26.446903
19305,20230210,TH_KB6_A,4.706111,14.888192,19.132128,29.830821,42.186011
19296,20230210,ETH-4,-7.319308,-5.631283,-13.485673,-11.316184,-9.455400
19336,20230214,ETH-2,-7.166626,-5.404618,-13.311457,-11.071687,-77.653162
19360,20230214,ETH-2,-7.170176,-5.406814,-13.417345,-11.051072,-17.691207
19333,20230214,KDW2_101.9_A_A,4.125025,10.618783,14.380174,21.114574,44.788387
19327,20230214,IAEA-C1,5.093676,11.066535,15.628687,21.972656,40.489924
19324,20230214,ETH-2,-7.137860,-5.391576,-13.255262,-10.694059,5.349721
19347,20230214,KDW2_119.1_A_A,3.826190,10.898741,14.362708,21.837825,41.212961
19343,20230214,SB1_69_A,7.962560,20.439522,28.167303,41.095171,41.581987
19331,20230214,ETH-4,-7.318063,-5.622433,-13.453415,-11.375894,-22.978877
19337,20230214,ETH-1,4.683892,11.130031,15.175467,21.983634,34.220305
19323,20230214,ETH-1,4.705866,11.168289,15.237534,22.229528,52.190813
19359,20230214,ETH-1,4.697655,11.166009,15.130185,22.104996,7.308854
19325,20230214,ETH-3,4.443311,11.678170,15.845649,23.396577,54.686229
19335,20230214,KDW2_101.9_A_A,4.120995,10.627903,14.376751,21.289996,33.801408
19341,20230214,IAEA-C2,-4.902136,4.181625,-1.189933,8.195364,-1017.003722
19340,20230214,KDW2_119.1_A_A,3.864473,10.912366,14.400511,21.515080,36.099296
19353,20230214,KDW2_101.9_A_A,4.142306,10.694674,14.413927,21.294748,14.468189
19330,20230214,KDW2_130.2_A_A,1.850968,9.355147,10.846914,19.174695,71.426089
19354,20230214,ETH-4,-7.326903,-5.601674,-13.505422,-11.091997,0.837626
19334,20230214,SB1_69_A,7.912168,20.461318,28.125854,41.056335,50.785501
19346,20230214,ETH-2,-7.162333,-5.406584,-13.326297,-10.795943,-15.710043
19339,20230214,KDW2_130.2_A_A,1.867239,9.388009,10.827482,18.855780,31.971327
19338,20230214,ST1_277_A,6.444349,16.674563,22.806163,33.385332,58.764888
19345,20230214,ETH-4,-7.324704,-5.624735,-13.494163,-11.242542,-7.792238
19332,20230214,ETH-3,4.420650,11.644810,15.786008,23.361633,35.866627
19328,20230214,ST1_277_A,6.443124,16.693079,22.843603,33.545376,46.022068
19326,20230214,IAEA-C2,-4.873840,4.258642,-1.084461,8.499519,14.773063
19351,20230214,ETH-3,4.424934,11.692334,15.808180,23.278974,40.929924
19344,20230214,KDW2_51.0_A,5.663993,11.831552,17.159202,23.672193,22.801190
19349,20230214,IAEA-C2,-4.866251,4.274133,-1.117160,8.403434,8.785063
19352,20230214,KDW2_119.1_A_A,3.837559,10.861372,14.323174,21.601572,49.254529
19355,20230214,IAEA-C2,-4.900579,4.183037,-1.243744,8.232246,-4.794797
19356,20230214,ST1_277_A,6.401702,16.552377,22.635741,33.230172,46.380043
19350,20230214,ETH-4,-7.325454,-5.602278,-13.437024,-11.512828,-5.263046
19342,20230214,ST1_277_A,6.412373,16.553223,22.645436,33.050592,-70.999465
19329,20230214,KDW2_51.0_A,5.665208,11.811724,17.168753,23.671024,57.634845
19358,20230214,SB1_69_A,7.935600,20.412628,28.057464,40.891949,51.590787
19362,20230214,KDW2_119.1_A_A,3.831696,10.917593,14.262110,21.702563,21.670052
3786,20171229,ETH-3,5.391377,12.252132,17.524446,24.581139,41.793530
3774,20171229,ETH-4,-6.356649,-5.008018,-11.723446,-9.904526,1.856434
3772,20171229,MDE_293.4,-4.257037,8.352609,3.545915,16.775021,37.122870
3767,20171229,KDW2_64.8,6.072531,13.171649,19.176827,26.491627,72.095450
3790,20171229,ETH-4,-6.344430,-4.910350,-11.648670,-9.772421,-5.447429
3769,20171229,ETH-3,5.425168,12.361385,17.715034,24.841473,51.514332
3803,20171229,NCM,5.423685,12.369455,17.617800,24.752644,30.119592
3768,20171229,MDE_292.5,-1.403227,8.571318,6.763801,17.068430,45.928486
3775,20171229,KDW2_59.0,7.008441,11.168419,18.050456,22.413984,43.309494
3812,20171229,NCM,5.800547,12.254918,17.590697,24.324259,42.836547
3796,20171229,KDW2_59.0,7.047268,11.332361,18.231512,22.697545,41.283004
3795,20171229,MDE_292.5,-1.436995,8.542195,6.629459,17.057628,23.338234
3771,20171229,KDW2_131.8_A,2.596328,9.592286,11.889474,19.277596,34.029337
3810,20171229,NCM,5.771562,12.192771,17.497939,24.210014,29.158017
3778,20171229,ETH-2,-6.308849,-4.921444,-11.849316,-9.787109,2.885931
3773,20171229,ETH-1,5.702795,11.844637,17.049497,23.684304,46.878364
3797,20171229,ETH-1,5.702682,11.909221,17.092616,23.803395,41.794756
3809,20171229,NCM,5.741988,12.085363,17.356607,23.877169,36.555653
3788,20171229,MDE_293.4,-4.236209,8.339898,3.544467,16.674791,28.834166
3808,20171229,NCM,5.791733,12.237525,17.634790,24.466009,36.765929
3765,20171229,ETH-1,5.732148,11.917936,17.167043,23.672346,56.104935
